0	True	0.047	window	window
1	True	0.180	tree	tree
2	True	0.180	dog	dog
3	True	0.180	reef	reef
4	True	0.180	grass	grass
5	False	0.076	skyscraper	fabric
6	False	0.108	person	text
7	False	0.114	table	soft drink
8	True	0.051	invertebrate	invertebrate
9	False	0.000	sky	-1
10	True	0.180	outdoor	outdoor
11	True	0.180	animal	animal
12	True	0.180	animal	animal
13	False	0.026	tree	plane
14	False	0.000	person	-1
15	True	0.180	grass	grass
16	True	0.180	dog	dog
17	False	0.023	wall	person
18	True	0.180	arthropod	arthropod
19	False	0.000	fish	-1
20	True	0.044	person	person
21	True	0.180	tree	tree
22	False	0.063	waste container	outdoor
23	True	0.013	dog	dog
24	False	0.000	nature	-1
25	False	0.072	indoor	bottle
26	False	0.000	outdoor	-1
27	True	0.004	outdoor	outdoor
28	False	0.000	grass	-1
29	False	0.000	ball	-1
30	False	0.000	cart	-1
31	False	0.072	invertebrate	outdoor
32	True	0.091	dog	dog
33	True	0.076	clothing	clothing
34	True	0.162	indoor	indoor
35	True	0.114	grass	grass
36	False	0.138	sky	outdoor
37	False	0.000	dog	-1
38	True	0.180	circle	circle
39	False	0.000	indoor	-1
40	True	0.180	grass	grass
41	True	0.180	person	person
42	True	0.086	accessory	accessory
43	False	0.076	sky	aircraft
44	True	0.162	dog	dog
45	False	0.016	insect	animal
46	False	0.162	water	child art
47	False	0.047	insect	invertebrate
48	True	0.180	dog	dog
49	False	0.040	animal	dog
50	True	0.180	dog	dog
51	False	0.000	building	-1
52	False	0.162	handbag	indoor
53	True	0.059	None	None
54	False	0.000	ship	-1
55	True	0.149	bathroom	bathroom
56	False	0.000	dog	-1
57	True	0.180	animal	animal
58	True	0.114	sport	sport
59	False	0.000	dog	-1
60	True	0.180	person	person
61	True	0.180	indoor	indoor
62	False	0.000	animal	-1
63	False	0.072	indoor	maraca
64	True	0.180	plate	plate
65	False	0.000	reef	aquarium
66	False	0.000	outdoor	-1
67	True	0.162	animal	animal
68	True	0.055	dog	dog
69	True	0.162	text	text
70	True	0.180	dog	dog
71	False	0.108	indoor	cat
72	True	0.086	tree	tree
73	False	0.059	indoor	None
74	True	0.180	bird	bird
75	True	0.023	outdoor	outdoor
76	True	0.149	grass	grass
77	False	0.076	carnivore	dog
78	False	0.162	ground	animal
79	True	0.180	grass	grass
80	True	0.180	person	person
81	False	0.023	outdoor	snow
82	False	0.007	bottle	indoor
83	False	0.044	museum	indoor
84	False	0.122	outdoor	butterfly
85	False	0.000	ground	-1
86	True	0.180	red	red
87	False	0.000	person	-1
88	True	0.180	doughnut	doughnut
89	False	0.000	outdoor	-1
90	True	0.072	outdoor	outdoor
91	False	0.040	bird	animal
92	False	0.072	curtain	text
93	False	0.004	rock	drawing
94	True	0.162	person	person
95	True	0.086	object	object
96	False	0.149	wall	indoor
97	False	0.000	sky	-1
98	False	0.000	dog	-1
99	True	0.040	bed	bed
